intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,14425434.350000001,272296.52,0.01887614011428363,136,0.00251
中意愿,54179,38366913.29000001,1113797.6600000001,0.029030160742441108,432,0.007974
高意愿,54180,119701206.61,4438434.65,0.03707928078336687,1511,0.027889
