intent_level,zc_level,n_samples,pct,bad,bad_rate
低意愿,1,1639,0.010084,212,0.129347
低意愿,2,7665,0.047158,889,0.115982
低意愿,3,14358,0.088336,1774,0.123555
低意愿,4,15904,0.097848,2052,0.129024
低意愿,5,2616,0.016095,361,0.137997
低意愿,6,10603,0.065234,1453,0.137037
低意愿,7,1394,0.008576,165,0.118364
中意愿,1,2457,0.015116,862,0.350834
中意愿,2,8318,0.051176,3010,0.361866
中意愿,3,11567,0.071165,4217,0.364572
中意愿,4,13900,0.085518,5297,0.381079
中意愿,5,2568,0.015799,972,0.378505
中意愿,6,12241,0.075312,4758,0.388694
中意愿,7,3128,0.019245,1211,0.387148
高意愿,1,2164,0.013314,1613,0.745379
高意愿,2,8035,0.049435,6244,0.7771
高意愿,3,11139,0.068532,8554,0.767932
高意愿,4,14306,0.088016,11085,0.77485
高意愿,5,2512,0.015455,1923,0.765525
高意愿,6,12010,0.07389,9192,0.765362
高意愿,7,4014,0.024696,3078,0.766816
