intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,147,0,0.0
低意愿,2,414,0,0.0
低意愿,3,1905,0,0.0
低意愿,4,3626,0,0.0
低意愿,5,10122,1,9.9e-05
低意愿,6,79697,2,2.5e-05
低意愿,7,67337,1,1.5e-05
中意愿,1,4032,0,0.0
中意愿,2,12811,8,0.000624
中意愿,3,23119,15,0.000649
中意愿,4,18825,12,0.000637
中意愿,5,34386,12,0.000349
中意愿,6,61430,11,0.000179
中意愿,7,8644,0,0.0
高意愿,1,7292,63,0.00864
高意愿,2,24172,345,0.014273
高意愿,3,35064,476,0.013575
高意愿,4,40709,573,0.014076
高意愿,5,9672,115,0.01189
高意愿,6,36729,432,0.011762
高意愿,7,9610,86,0.008949
