intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,163248,607635.1400000001,30184.54,0.04967543516327906,4,2.5e-05
中意愿,163247,9002066.380000003,203495.33,0.02260540207214068,58,0.000355
高意愿,163248,174125015.37999997,5972512.489999999,0.03430014048794739,2090,0.012803
