intent_level,zc_level,n_samples,head_risk_count,head_risk_rate
低意愿,1,1639,4,0.002441
低意愿,2,7665,15,0.001957
低意愿,3,14358,32,0.002229
低意愿,4,15904,46,0.002892
低意愿,5,2616,13,0.004969
低意愿,6,10603,25,0.002358
低意愿,7,1394,1,0.000717
中意愿,1,2457,14,0.005698
中意愿,2,8318,66,0.007935
中意愿,3,11567,109,0.009423
中意愿,4,13900,97,0.006978
中意愿,5,2568,18,0.007009
中意愿,6,12241,113,0.009231
中意愿,7,3128,15,0.004795
高意愿,1,2164,40,0.018484
高意愿,2,8035,260,0.032358
高意愿,3,11139,335,0.030075
高意愿,4,14306,438,0.030617
高意愿,5,2512,80,0.031847
高意愿,6,12010,289,0.024063
高意愿,7,4014,69,0.01719
