intent_level,1,2,3,4,5,6,7
中意愿,0.035962,0.035751,0.033436,0.03012,0.020677,0.020772,0.026839
低意愿,0.0,0.002415,0.002625,0.001103,0.002272,0.002673,0.002926
高意愿,0.408118,0.435545,0.423112,0.45361,0.406121,0.451714,0.502497
