intent_level,1,2,3,4,5,6,7
中意愿,0.350834,0.361866,0.364572,0.381079,0.378505,0.388694,0.387148
低意愿,0.129347,0.115982,0.123555,0.129024,0.137997,0.137037,0.118364
高意愿,0.745379,0.7771,0.767932,0.77485,0.765525,0.765362,0.766816
