mdl_month,n_samples,positive,bad_rate,final_flag,model_score_auc,model_score_ks,gcard_v2_auc,gcard_v2_ks,gcard_v4_auc,gcard_v4_ks,gcard_v5_auc,gcard_v5_ks,gcard_v6_auc,gcard_v6_ks
2025-06,30496,5012,0.164349,DEV,0.9473174520845467,0.7453547054484086,0.9258359960589586,0.7001369365906416,0.923089513749641,0.6997870939285817,0.920701601668474,0.6897363765355864,0.9344269797064035,0.7204668926424016
2025-07,30476,4825,0.158321,DEV,0.9471105228149153,0.7494295912672354,0.9278730788125961,0.7118615329113721,0.9248935995717562,0.7028556999868698,0.923411229611992,0.7058592267711488,0.9352934154209868,0.7296503100708331
2025-08,30630,5067,0.165426,DEV,0.9478106929712753,0.7523092450611403,0.9292314581798128,0.7129931778893168,0.9260916047461378,0.7082991678669309,0.9261748340341756,0.7100669593345196,0.9371693801360097,0.7282633576174786
2025-09,30555,4649,0.152152,DEV,0.9501708918440791,0.7649084383491006,0.9337856521785929,0.7278479076385599,0.926847783292769,0.7185932898674354,0.9308386923041272,0.7221127255965887,0.940439886767682,0.7431132663440604
2025-10,30760,4377,0.142295,DEV,0.9438872507324768,0.750293836359393,0.9269904718575329,0.7113978768577495,0.9200404473685309,0.7057454329075284,0.9263326590686565,0.7082965937757134,0.9345480445774483,0.7283391400907205
2025-11,30822,4218,0.13685,DEV,0.9494707477222967,0.7657618090991782,0.9315450057528161,0.7278858623426895,0.9276602425015998,0.7214708298498627,0.9304575523105185,0.7260863883611551,0.938411971547076,0.7416998224633008
2025-06,30491,5766,0.189105,DEV-OOS,0.9274258747014945,0.7071787441951651,0.9196512026521376,0.6875275960046041,0.9164582344744672,0.6835104849143562,0.9151658952606314,0.681064326390153,0.9290172402848259,0.7076432852953772
2025-07,30523,5615,0.18396,DEV-OOS,0.9306746494061637,0.7161934118803859,0.9226714348116019,0.6949217022797981,0.9184346677923264,0.6873012164468206,0.9204119172803468,0.6956249112495336,0.9306253924504508,0.7161661128446897
2025-08,30405,5673,0.186581,DEV-OOS,0.938856874266079,0.7332890126310581,0.9313337806455827,0.7182979859538702,0.92845199789538,0.7112993415354039,0.9278427157602974,0.7186855892630661,0.9394947362965255,0.7333726591899643
2025-09,30645,5216,0.170207,DEV-OOS,0.933511981182057,0.7204036253231962,0.9281634628864871,0.7084326177363156,0.9215071859226954,0.6998355911937653,0.9254509073682119,0.7026285836879637,0.9341856623771662,0.7200835729435042
2025-10,30663,4887,0.159378,DEV-OOS,0.9319135189611731,0.7211297959584944,0.9253286330835205,0.7064479903519817,0.920750525404699,0.6909513849070467,0.9243846371827001,0.7015916557781277,0.9330887444831718,0.7254893555242331
2025-11,30753,4670,0.151855,DEV-OOS,0.9327518945655366,0.7246920697319321,0.9275034083008238,0.7113634045176231,0.9217868673777496,0.6981881553926367,0.9249680787596113,0.706410182417995,0.9339367794836464,0.7209394060026298
2025-12,30581,4092,0.133809,OOT,0.9353175594716514,0.7291830261197338,0.9290143964971482,0.7149180625387366,0.9242514703720205,0.7121536877725925,0.9282858684548858,0.7198374308124064,0.9370134994341147,0.7340192430159781
2026-01,30592,3803,0.124314,OOT,0.9334717870540915,0.7359897788903922,0.9278903684995576,0.7219041162133195,0.9217866256403077,0.7083473111670289,0.9267328328243958,0.711033332457454,0.9344418438865556,0.7347213472290006
2025-12,30606,4576,0.149513,OOT-OOS,0.9317393912752633,0.7184789974719863,0.922002807203012,0.6979461740644889,0.9177893456048352,0.6891985912297391,0.9215162280813693,0.6945050459528945,0.9309182695665841,0.712940488247826
2026-01,30745,4313,0.140283,OOT-OOS,0.9282849579429047,0.7206429096335253,0.9209444662472657,0.7049555939060389,0.9171103622263117,0.6887910037731527,0.9197063082204316,0.6919609787320163,0.9288265223416565,0.7194318962352121
