intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,13722673.75,270038.42,0.019678265687836524,125,0.002307
中意愿,54179,37944257.28,1108663.37,0.029218212437758382,441,0.00814
高意愿,54180,120826623.22000001,4445827.040000001,0.03679509466969941,1513,0.027925
