intent_level,1,2,3,4,5,6,7
中意愿,0.04153,0.038147,0.033388,0.033824,0.021185,0.021273,0.028698
低意愿,0.000786,0.002681,0.002334,0.002075,0.002876,0.002813,0.003379
高意愿,0.397749,0.433117,0.423073,0.452639,0.400204,0.446674,0.506009
