segment,final_flag,score_version,intent_level,zc_level,n_samples,sample_pct,row_pct,col_pct
老户,DEV-OOS,model_score,低意愿,1,13793,0.012207674735786551,0.036623024207359654,0.3103805216138977
老户,DEV-OOS,model_score,低意愿,2,62574,0.05538193568600795,0.16614580705802384,0.36528683428584774
老户,DEV-OOS,model_score,低意愿,3,99346,0.08792747439291312,0.26378242317873934,0.4110472092349704
老户,DEV-OOS,model_score,低意愿,4,113766,0.10069008366501071,0.30207025099503215,0.36413276573952563
老户,DEV-OOS,model_score,低意愿,5,15460,0.013683074850667736,0.04104922455200321,0.30302436347243183
老户,DEV-OOS,model_score,低意愿,6,59363,0.052539998212172624,0.15761999463651788,0.2539419761641984
老户,DEV-OOS,model_score,低意愿,7,12319,0.010903091790774633,0.032709275372323904,0.16377728735143185
老户,DEV-OOS,model_score,中意愿,1,16851,0.014914197562005306,0.044742592686015915,0.3791939512590292
老户,DEV-OOS,model_score,中意愿,2,56299,0.04982816500761597,0.1494844950228479,0.32865540773258767
老户,DEV-OOS,model_score,中意愿,3,72246,0.0639422655667103,0.1918267967001309,0.298920104265795
老户,DEV-OOS,model_score,中意愿,4,98696,0.08735218340630678,0.2620565502189203,0.3158979611432961
老户,DEV-OOS,model_score,中意愿,5,17750,0.01570986924963469,0.04712960774890407,0.3479096023050236
老户,DEV-OOS,model_score,中意愿,6,86265,0.0763499645532246,0.2290498936596738,0.369022869022869
老户,DEV-OOS,model_score,中意愿,7,28514,0.025236687987835692,0.07571006396350707,0.37908479353346275
老户,DEV-OOS,model_score,高意愿,1,13795,0.012209444861899186,0.03662833458569756,0.31042552712707305
老户,DEV-OOS,model_score,高意愿,2,52428,0.04640208591661113,0.1392062577498334,0.3060577579815646
老户,DEV-OOS,model_score,高意愿,3,70098,0.06204115012174043,0.18612345036522127,0.2900326864992346
老户,DEV-OOS,model_score,高意愿,4,99968,0.08847798361394257,0.26543395084182775,0.31996927311717827
老户,DEV-OOS,model_score,高意愿,5,17809,0.01576208796995742,0.047286263909872256,0.34906603422254456
老户,DEV-OOS,model_score,高意愿,6,88138,0.07800768765770717,0.23402306297312153,0.3770351548129326
老户,DEV-OOS,model_score,高意愿,7,34385,0.03043289319147543,0.09129867957442628,0.45713791911510543
老户,DEV-OOS,model_score,低意愿,合计,376621,0.3333333333333333,1.0,
老户,DEV-OOS,model_score,中意愿,合计,376621,0.3333333333333333,1.0,
老户,DEV-OOS,model_score,高意愿,合计,376621,0.3333333333333333,1.0,
老户,DEV-OOS,model_score,合计,1,44439,0.03933131715969104,,1.0
老户,DEV-OOS,model_score,合计,2,171301,0.15161218661023504,,1.0
老户,DEV-OOS,model_score,合计,3,241690,0.21391089008136385,,1.0
老户,DEV-OOS,model_score,合计,4,312430,0.2765202506852601,,1.0
老户,DEV-OOS,model_score,合计,5,51019,0.045155032070259844,,1.0
老户,DEV-OOS,model_score,合计,6,233766,0.2068976504231044,,1.0
老户,DEV-OOS,model_score,合计,7,75218,0.06657267297008575,,1.0
老户,DEV-OOS,gcard_v2,低意愿,1,11912,0.010543244384297363,0.03162970515761747,0.26805283647246786
老户,DEV-OOS,gcard_v2,低意愿,2,59470,0.0526365634263066,0.15790955051406236,0.3471687098657326
老户,DEV-OOS,gcard_v2,低意愿,3,99154,0.0877606492344376,0.26328171467414396,0.4102595930256614
老户,DEV-OOS,gcard_v2,低意愿,4,115578,0.10229743951043659,0.30689204690288047,0.36994785815112496
老户,DEV-OOS,gcard_v2,低意愿,5,15943,0.01411105987398026,0.042333142153114116,0.3124975498843545
老户,DEV-OOS,gcard_v2,低意愿,6,61417,0.05435984220537199,0.16307938227546945,0.26274427598480443
老户,DEV-OOS,gcard_v2,低意愿,7,13134,0.011624829729966552,0.03487445832271221,0.17462871122575155
老户,DEV-OOS,gcard_v2,中意愿,1,15335,0.01357292248431834,0.040718839532987966,0.34507977227210335
老户,DEV-OOS,gcard_v2,中意愿,2,51746,0.04580009435106207,0.13740052627805643,0.3020782253356684
老户,DEV-OOS,gcard_v2,中意愿,3,67828,0.060034182345376226,0.18010286585220137,0.2806451345961289
老户,DEV-OOS,gcard_v2,中意愿,4,96379,0.0853045122997142,0.25591398991521663,0.30849473620193524
老户,DEV-OOS,gcard_v2,中意愿,5,17864,0.01581132619888248,0.04743406256389286,0.3501509271237602
老户,DEV-OOS,gcard_v2,中意愿,6,92303,0.0816968675624412,0.245091036544727,0.39487576576884903
老户,DEV-OOS,gcard_v2,中意愿,7,35152,0.03111283802861156,0.09333867931291771,0.46737844198322054
老户,DEV-OOS,gcard_v2,高意愿,1,17192,0.015216542768203514,0.04564958790041635,0.3868673912554288
老户,DEV-OOS,gcard_v2,高意愿,2,60084,0.05318001138231387,0.15953989293907725,0.35075306479859897
老户,DEV-OOS,gcard_v2,高意愿,3,74704,0.06612009137714492,0.19836009856402412,0.3090952723782097
老户,DEV-OOS,gcard_v2,高意愿,4,100460,0.08891658250894166,0.26674951142832865,0.32155740564693985
老户,DEV-OOS,gcard_v2,高意愿,5,17211,0.01523335956163045,0.04570003823604384,0.3373515229918852
老户,DEV-OOS,gcard_v2,高意愿,6,80032,0.07083587429181384,0.212507434786303,0.34237995824634654
老户,DEV-OOS,gcard_v2,高意愿,7,26925,0.0238311664747487,0.07149343614580678,0.3579928467910279
老户,DEV-OOS,gcard_v2,低意愿,合计,376608,0.33333362836479696,1.0,
老户,DEV-OOS,gcard_v2,中意愿,合计,376607,0.3333327432704061,1.0,
老户,DEV-OOS,gcard_v2,高意愿,合计,376608,0.33333362836479696,1.0,
老户,DEV-OOS,gcard_v2,合计,1,44439,0.039332709636819216,,1.0
老户,DEV-OOS,gcard_v2,合计,2,171300,0.15161666915968253,,1.0
老户,DEV-OOS,gcard_v2,合计,3,241686,0.21391492295695874,,1.0
老户,DEV-OOS,gcard_v2,合计,4,312417,0.27651853431909246,,1.0
老户,DEV-OOS,gcard_v2,合计,5,51018,0.04515574563449319,,1.0
老户,DEV-OOS,gcard_v2,合计,6,233752,0.20689258405962704,,1.0
老户,DEV-OOS,gcard_v2,合计,7,75211,0.06656883423332681,,1.0
老户,DEV-OOS,gcard_v4,低意愿,1,9910,0.008770974888105904,0.02631292466431771,0.22300231778392854
老户,DEV-OOS,gcard_v4,低意愿,2,59923,0.0530356335237104,0.1591069005711312,0.3498111511316338
老户,DEV-OOS,gcard_v4,低意愿,3,102935,0.09110396570203644,0.2733118971061093,0.42589680996317597
老户,DEV-OOS,gcard_v4,低意愿,4,118369,0.10476402891323992,0.31429208673971976,0.37886566590916365
老户,DEV-OOS,gcard_v4,低意愿,5,16028,0.014185790666656047,0.04255737199996814,0.3141574707461926
老户,DEV-OOS,gcard_v4,低意愿,6,58662,0.0519195690096941,0.1557587070290823,0.25094325094325093
老户,DEV-OOS,gcard_v4,低意愿,7,10794,0.009553370629890527,0.028660111889671578,0.14350288494775187
老户,DEV-OOS,gcard_v4,中意愿,1,17329,0.015337257702925045,0.046011773108775134,0.3899502689079412
老户,DEV-OOS,gcard_v4,中意愿,2,54344,0.04809786673251536,0.14429360019754608,0.31724274814507797
老户,DEV-OOS,gcard_v4,中意愿,3,68270,0.06042325485479213,0.18126976456437638,0.28246927882825107
老户,DEV-OOS,gcard_v4,中意愿,4,97049,0.08589448455255194,0.2576834536576558,0.31062638030918927
老户,DEV-OOS,gcard_v4,中意愿,5,17849,0.015797490492210117,0.04739247147663035,0.3498500558615418
老户,DEV-OOS,gcard_v4,中意愿,6,90588,0.08017609214568491,0.24052827643705477,0.38751572084905417
老户,DEV-OOS,gcard_v4,中意愿,7,31192,0.027606886852653816,0.08282066055796145,0.4146879736233348
老户,DEV-OOS,gcard_v4,高意愿,1,17200,0.015223084568660094,0.04566925370598028,0.38704741330813025
老户,DEV-OOS,gcard_v4,高意愿,2,57034,0.05047868635400929,0.15143605906202787,0.33294610072328823
老户,DEV-OOS,gcard_v4,高意愿,3,70485,0.06238366952453527,0.18715100857360584,0.29163391120857296
老户,DEV-OOS,gcard_v4,高意愿,4,97012,0.0858617372194682,0.2575852116584046,0.3105079537816471
