segment,final_flag,score_version,intent_level,zc_level,n_samples,total_principal,total_overdue,amount_overdue_rate
老户,DEV-OOS,gcard_v4,低意愿,4,118369,27384893.8,1039849.18,0.03797163456591532
老户,DEV-OOS,gcard_v4,低意愿,5,16028,2822420.38,103324.46,0.036608458730020936
老户,DEV-OOS,gcard_v4,低意愿,6,58662,7635450.29,241998.19,0.03169402992734303
老户,DEV-OOS,gcard_v4,低意愿,7,10794,502780.11,32435.43,0.06451215820769043
老户,DEV-OOS,gcard_v4,中意愿,1,17329,53456526.42,956588.77,0.01789470498857752
老户,DEV-OOS,gcard_v4,中意愿,2,54344,100502955.91,2370251.61,0.02358389948373808
老户,DEV-OOS,gcard_v4,中意愿,3,68270,67649662.47,1902834.1900000002,0.028127770642519218
老户,DEV-OOS,gcard_v4,中意愿,4,97049,52478412.61,1862881.76,0.03549805848443326
老户,DEV-OOS,gcard_v4,中意愿,5,17849,6878459.8,271548.35000000003,0.03947807472829892
老户,DEV-OOS,gcard_v4,中意愿,6,90588,25903037.6,1265301.4000000001,0.04884760696946215
老户,DEV-OOS,gcard_v4,中意愿,7,31192,4873750.850000001,204948.31,0.04205145406643016
老户,DEV-OOS,gcard_v4,高意愿,1,17200,158548378.88,4649367.44,0.02932459778424447
老户,DEV-OOS,gcard_v4,高意愿,2,57034,332642537.84000003,12309731.56,0.03700588517611942
老户,DEV-OOS,gcard_v4,高意愿,3,70485,218680841.31,11531376.65,0.05273153597234073
老户,DEV-OOS,gcard_v4,高意愿,4,97012,175856270.59,9889213.9,0.05623463904256336
老户,DEV-OOS,gcard_v4,高意愿,5,17142,21551508.39,1160403.6300000001,0.05384326744101275
老户,DEV-OOS,gcard_v4,高意愿,6,84516,69683567.07000001,4372492.640000001,0.06274783028267844
老户,DEV-OOS,gcard_v4,高意愿,7,33232,12490797.15,806624.6,0.06457751177233712
老户,DEV-OOS,gcard_v4,低意愿,合计,376621,132268120.74000001,3348876.5300000003,0.02531884864821585
老户,DEV-OOS,gcard_v4,中意愿,合计,376621,311742805.66,8834354.39,0.028338599093879726
老户,DEV-OOS,gcard_v4,高意愿,合计,376621,989453901.23,44719210.42,0.045195850321484515
老户,DEV-OOS,gcard_v4,合计,1,44439,222203339.52,5687113.69,0.025594186398301706
老户,DEV-OOS,gcard_v4,合计,2,171301,477707084.65000004,15412442.06,0.032263373425353695
老户,DEV-OOS,gcard_v4,合计,3,241690,325493054.82,14551863.74,0.04470714051962579
