mdl_month,segment,final_flag,n_samples,positive,bad_rate,auc,ks
2025-12,流失户,OOT-OOS,410669,10588,0.025782321042007065,0.8932196660852414,0.6349928398566158
2026-01,流失户,OOT-OOS,416914,10559,0.02532656615033316,0.8929827074037524,0.6406069326021511
2025-12,老户次新,OOT-OOS,189331,77315,0.40835890583158596,0.8066191546342134,0.4606493957085962
2026-01,老户次新,OOT-OOS,183086,73016,0.39880711796642015,0.7965016344569678,0.44443637165106115
