intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,3200000,10542563.73,291870.95,0.02768500693711244,61,1.9e-05
中意愿,3200000,191382012.26,4087489.94,0.02135775401110834,1100,0.000344
高意愿,3200000,3408201132.3100004,111686371.24,0.032769888543608794,40589,0.012684
