mdl_month,score_version,score_decile,score_min,score_max,n_samples,pct,bad_rate,baseline_pct,psi_component,month_psi,lower_bound,upper_bound
2025-06,model_score,001,0.001221991393305739,0.0028423840019584593,115289,0.09607416666666667,0.0015873153553244456,0.1,0.00015722853893378156,0.00015722853893378156,"(-inf, 0.002842]","(0.001222, 0.002842]"
2025-06,model_score,002,0.0028423840019584593,0.003555555796704264,115723,0.09643583333333333,0.003145442133370203,0.1,0.00012935194265397142,0.000286580481587753,"(0.002842, 0.003556]","(0.002842, 0.003556]"
2025-06,model_score,003,0.003555555796704264,0.0055047910342660164,115893,0.0965775,0.004504154694416401,0.1,0.00011918647872518102,0.000405766960312934,"(0.003556, 0.005505]","(0.003556, 0.005505]"
2025-06,model_score,004,0.0055047910342660164,0.010570912098444605,115997,0.09666416666666666,0.006396717156478185,0.1,0.00011317619879878465,0.0005189431591117186,"(0.005505, 0.010571]","(0.005505, 0.010571]"
2025-06,model_score,005,0.010570912098444605,0.02137404599316172,116385,0.0969875,0.01273359969068179,0.1,9.214659632617135e-05,0.00061108975543789,"(0.010571, 0.021374]","(0.010571, 0.021374]"
2025-06,model_score,006,0.02137404599316172,0.06737391945926852,118056,0.09838,0.03361963813783289,0.1,2.6458900485854475e-05,0.0006375486559237444,"(0.021374, 0.067374]","(0.021374, 0.067374]"
2025-06,model_score,007,0.06737391945926852,0.15927393359619255,120937,0.10078083333333333,0.10120972076370341,0.1,6.073326403657028e-06,0.0006436219823274014,"(0.067374, 0.159274]","(0.067374, 0.159274]"
2025-06,model_score,008,0.15927393359619255,0.3334078518484495,124127,0.10343916666666667,0.22499536764765118,0.1,0.00011629023540574371,0.0007599122177331452,"(0.159274, 0.333408]","(0.159274, 0.333408]"
2025-06,model_score,009,0.3334078518484495,0.6114009870808139,127306,0.10608833333333334,0.45689126985373824,0.1,0.0003598320339083346,0.0011197442516414798,"(0.333408, 0.611401]","(0.333408, 0.611401]"
2025-06,model_score,010,0.6114009870808139,0.9983048832626005,130284,0.10857,0.7974194835896964,0.1,0.0007046677379910853,0.001824411989632565,"(0.611401, 0.998305]","(0.611401, +inf)"
2025-07,model_score,001,0.001221991393305739,0.0028423840019584593,123245,0.10270416666666667,0.001906771065763317,0.1,7.215393077866726e-05,7.215393077866726e-05,"(-inf, 0.002842]","(0.001222, 0.002842]"
2025-07,model_score,002,0.0028423840019584593,0.003555555796704264,131262,0.109385,0.0030473404336365437,0.1,0.0008418681272224913,0.0009140220580011586,"(0.002842, 0.003556]","(0.002842, 0.003556]"
2025-07,model_score,003,0.003555555796704264,0.0055047910342660164,124356,0.10363,0.004237833317250474,0.1,0.0001294337382651657,0.0010434557962663244,"(0.003556, 0.005505]","(0.003556, 0.005505]"
2025-07,model_score,004,0.0055047910342660164,0.010570912098444605,117967,0.09830583333333333,0.007569913619910653,0.1,2.8947918250200357e-05,0.0010724037145165247,"(0.005505, 0.010571]","(0.005505, 0.010571]"
2025-07,model_score,005,0.010570912098444605,0.02137404599316172,114332,0.09527666666666666,0.014344190602805864,0.1,0.00022853964602810115,0.0013009433605446258,"(0.010571, 0.021374]","(0.010571, 0.021374]"
2025-07,model_score,006,0.02137404599316172,0.06737391945926852,112088,0.09340666666666667,0.03834487188637499,0.1,0.0004497145572684769,0.0017506579178131027,"(0.021374, 0.067374]","(0.021374, 0.067374]"
2025-07,model_score,007,0.06737391945926852,0.15927393359619255,112252,0.09354333333333334,0.1073833873783986,0.1,0.00043095279253105523,0.002181610710344158,"(0.067374, 0.159274]","(0.067374, 0.159274]"
2025-07,model_score,008,0.15927393359619255,0.3334078518484495,115584,0.09632,0.23652062569213733,0.1,0.0001379786722934964,0.0023195893826376546,"(0.159274, 0.333408]","(0.159274, 0.333408]"
2025-07,model_score,009,0.3334078518484495,0.6114009870808139,119581,0.09965083333333333,0.4658766860956172,0.1,1.2213070526661484e-06,0.002320810689690321,"(0.333408, 0.611401]","(0.333408, 0.611401]"
2025-07,model_score,010,0.6114009870808139,0.9983048832626005,129326,0.10777166666666667,0.8048265623308538,0.1,0.0005816673260132657,0.0029024780157035864,"(0.611401, 0.998305]","(0.611401, +inf)"
2025-08,model_score,001,0.001221991393305739,0.0028423840019584593,127604,0.10633666666666666,0.002045390426632394,0.1,0.00038932464538336055,0.00038932464538336055,"(-inf, 0.002842]","(0.001222, 0.002842]"
2025-08,model_score,002,0.0028423840019584593,0.003555555796704264,136811,0.11400916666666666,0.003267281139674441,0.1,0.0018367231888881089,0.0022260478342714693,"(0.002842, 0.003556]","(0.002842, 0.003556]"
2025-08,model_score,003,0.003555555796704264,0.0055047910342660164,127143,0.1059525,0.00461684874511377,0.1,0.00034417768391422813,0.0025702255181856972,"(0.003556, 0.005505]","(0.003556, 0.005505]"
2025-08,model_score,004,0.0055047910342660164,0.010570912098444605,119007,0.0991725,0.008495298595880914,0.1,6.876051563369117e-06,0.0025771015697490665,"(0.005505, 0.010571]","(0.005505, 0.010571]"
2025-08,model_score,005,0.010570912098444605,0.02137404599316172,114435,0.0953625,0.015563420282256303,0.1,0.0002202106049764616,0.002797312174725528,"(0.010571, 0.021374]","(0.010571, 0.021374]"
2025-08,model_score,006,0.02137404599316172,0.06737391945926852,109744,0.09145333333333333,0.040722044029741944,0.1,0.0007635708407743551,0.003560883015499883,"(0.021374, 0.067374]","(0.021374, 0.067374]"
2025-08,model_score,007,0.06737391945926852,0.15927393359619255,109649,0.09137416666666667,0.11589708980474057,0.1,0.0007781138933466832,0.004338996908846566,"(0.067374, 0.159274]","(0.067374, 0.159274]"
2025-08,model_score,008,0.15927393359619255,0.3334078518484495,111513,0.0929275,0.24839256409566599,0.1,0.0005187718833388952,0.0048577687921854615,"(0.159274, 0.333408]","(0.159274, 0.333408]"
2025-08,model_score,009,0.3334078518484495,0.6114009870808139,116112,0.09676,0.48272357723577236,0.1,0.0001067142607978987,0.00496448305298336,"(0.333408, 0.611401]","(0.333408, 0.611401]"
