segment,final_flag,score_version,decile,decile_int,n_samples,pct,bad,bad_rate,score_min,score_max,lower_bound,upper_bound
全客群,DEV,model_score,010,10,360000,0.1,283550,0.7876388888888889,0.5801401076901622,0.9983048832626005,"(0.580140, 0.998305]","(0.580140, +inf)"
全客群,DEV,model_score,009,9,360000,0.1,153305,0.4258472222222222,0.29080024926425735,0.5801395197635895,"(0.290800, 0.580140]","(0.290800, 0.580140]"
全客群,DEV,model_score,008,8,360000,0.1,69368,0.19268888888888888,0.12429601561475673,0.2907975629432038,"(0.124296, 0.290798]","(0.124296, 0.290798]"
全客群,DEV,model_score,007,7,360000,0.1,26977,0.0749361111111111,0.041087430287121064,0.12429554259171913,"(0.041087, 0.124296]","(0.041087, 0.124296]"
全客群,DEV,model_score,006,6,360000,0.1,8480,0.023555555555555555,0.01491277289331567,0.0410874082138366,"(0.014913, 0.041087]","(0.014913, 0.041087]"
全客群,DEV,model_score,005,5,360000,0.1,3795,0.010541666666666666,0.007863834447876137,0.01491276477727595,"(0.007864, 0.014913]","(0.007864, 0.014913]"
全客群,DEV,model_score,004,4,360000,0.1,2201,0.006113888888888889,0.004447594877510005,0.00786383111624686,"(0.004448, 0.007864]","(0.004448, 0.007864]"
全客群,DEV,model_score,003,3,360000,0.1,1360,0.003777777777777778,0.0033515187681044936,0.004447592819574856,"(0.003352, 0.004448]","(0.003352, 0.004448]"
全客群,DEV,model_score,002,2,360000,0.1,964,0.0026777777777777776,0.0027874996080842532,0.0033515176452772358,"(0.002787, 0.003352]","(0.002787, 0.003352]"
全客群,DEV,model_score,001,1,360000,0.1,617,0.001713888888888889,0.0009674879094371255,0.0027874992687614074,"(-inf, 0.002787]","(0.000967, 0.002787]"
全客群,DEV,gcard_v2,010,10,359895,0.10000019450155226,267824,0.7441726058989427,0.5663517033496311,0.9761025237263756,"(0.566352, 0.976103]","(0.566352, +inf)"
全客群,DEV,gcard_v2,009,9,359894,0.09999991664219189,153695,0.42705629991052924,0.3236238909408548,0.5663463524848799,"(0.323624, 0.566346]","(0.323624, 0.566346]"
全客群,DEV,gcard_v2,008,8,359894,0.09999991664219189,75131,0.2087586900587395,0.161195439753952,0.323623764742222,"(0.161195, 0.323624]","(0.161195, 0.323624]"
全客群,DEV,gcard_v2,007,7,359894,0.09999991664219189,32030,0.08899842731470933,0.0777855120860836,0.1611951240991215,"(0.077786, 0.161195]","(0.077786, 0.161195]"
全客群,DEV,gcard_v2,006,6,359894,0.09999991664219189,12066,0.033526538369631056,0.0405980575859014,0.0777850934642437,"(0.040598, 0.077785]","(0.040598, 0.077785]"
全客群,DEV,gcard_v2,005,5,359895,0.10000019450155226,4827,0.013412245238194473,0.0213869349798989,0.0405980468501537,"(0.021387, 0.040598]","(0.021387, 0.040598]"
全客群,DEV,gcard_v2,004,4,359894,0.09999991664219189,2303,0.006399106403552157,0.0121204188131505,0.0213868634029192,"(0.012120, 0.021387]","(0.012120, 0.021387]"
全客群,DEV,gcard_v2,003,3,359894,0.09999991664219189,1219,0.003387108426369987,0.007466564227875,0.0121204128303544,"(0.007467, 0.012120]","(0.007467, 0.012120]"
全客群,DEV,gcard_v2,002,2,359894,0.09999991664219189,684,0.0019005596092182698,0.0045573613748219,0.0074665600287121,"(0.004557, 0.007467]","(0.004557, 0.007467]"
全客群,DEV,gcard_v2,001,1,359895,0.10000019450155226,326,0.0009058197529835091,0.0014166848566419,0.0045573543603644,"(-inf, 0.004557]","(0.001417, 0.004557]"
全客群,DEV,gcard_v4,010,10,359991,0.10000011111401243,273929,0.7609329122116942,0.4900918119446913,0.9599512186655662,"(0.490092, 0.959951]","(0.490092, +inf)"
全客群,DEV,gcard_v4,009,9,359989,0.09999955554395032,148711,0.4130987335724147,0.2201144725363611,0.4900900547997294,"(0.220114, 0.490090]","(0.220114, 0.490090]"
全客群,DEV,gcard_v4,008,8,359989,0.09999955554395032,70565,0.19601987838517287,0.10568996452589,0.22011390842377,"(0.105690, 0.220114]","(0.105690, 0.220114]"
全客群,DEV,gcard_v4,007,7,359992,0.10000038889904347,31625,0.08784917442609835,0.0257250393535147,0.1056895784781114,"(0.025725, 0.105690]","(0.025725, 0.105690]"
全客群,DEV,gcard_v4,006,6,359965,0.09999288870320502,12171,0.033811620574222497,0.0105164686874311,0.0257250353614969,"(0.010516, 0.025725]","(0.010516, 0.025725]"
