segment,final_flag,score_version,intent_level,zc_level,n_samples,ftr_30d_count,ftr_30d_rate
老户,DEV-OOS,gcard_v4,高意愿,6,84516,65864,0.7793080600123053
老户,DEV-OOS,gcard_v4,高意愿,7,33232,25609,0.7706126624939817
老户,DEV-OOS,gcard_v4,低意愿,合计,376621,61748,0.1639526208044692
老户,DEV-OOS,gcard_v4,中意愿,合计,376621,160944,0.4273367656078657
老户,DEV-OOS,gcard_v4,高意愿,合计,376621,293493,0.7792794347633297
老户,DEV-OOS,gcard_v4,合计,1,44439,19628,0.44168410630302213
老户,DEV-OOS,gcard_v4,合计,2,171301,74494,0.4348719505431959
老户,DEV-OOS,gcard_v4,合计,3,241690,100430,0.41553229343373743
老户,DEV-OOS,gcard_v4,合计,4,312430,139418,0.44623755721281566
老户,DEV-OOS,gcard_v4,合计,5,51019,24343,0.4771359689527431
老户,DEV-OOS,gcard_v4,合计,6,233766,116241,0.4972536639203306
老户,DEV-OOS,gcard_v4,合计,7,75218,41631,0.5534712435853121
老户,DEV-OOS,gcard_v5,低意愿,1,12896,2369,0.1837003722084367
老户,DEV-OOS,gcard_v5,低意愿,2,60520,10212,0.16873760740251156
老户,DEV-OOS,gcard_v5,低意愿,3,99528,15936,0.1601157463226429
老户,DEV-OOS,gcard_v5,低意愿,4,114758,19941,0.17376566339601596
老户,DEV-OOS,gcard_v5,低意愿,5,15707,2997,0.1908066467180238
老户,DEV-OOS,gcard_v5,低意愿,6,60311,12080,0.20029513687387043
老户,DEV-OOS,gcard_v5,低意愿,7,12901,2809,0.21773505929772885
老户,DEV-OOS,gcard_v5,中意愿,1,16066,6265,0.38995393999751027
老户,DEV-OOS,gcard_v5,中意愿,2,55476,23214,0.418451222150119
老户,DEV-OOS,gcard_v5,中意愿,3,72827,32229,0.44254191439987917
老户,DEV-OOS,gcard_v5,中意愿,4,100221,45577,0.45476496941758715
老户,DEV-OOS,gcard_v5,中意愿,5,17991,8350,0.4641209493635707
老户,DEV-OOS,gcard_v5,中意愿,6,86699,39513,0.4557492012595301
老户,DEV-OOS,gcard_v5,中意愿,7,27341,12942,0.4733550345634761
老户,DEV-OOS,gcard_v5,高意愿,1,15477,10994,0.710344381986173
老户,DEV-OOS,gcard_v5,高意愿,2,55305,41068,0.7425730042491637
老户,DEV-OOS,gcard_v5,高意愿,3,69335,52265,0.7538039950962717
老户,DEV-OOS,gcard_v5,高意愿,4,97451,73900,0.7583298272978215
老户,DEV-OOS,gcard_v5,高意愿,5,17321,12996,0.7503031002828936
老户,DEV-OOS,gcard_v5,高意愿,6,86756,64648,0.7451703628567476
老户,DEV-OOS,gcard_v5,高意愿,7,34976,25880,0.739935956084172
老户,DEV-OOS,gcard_v5,低意愿,合计,376621,66344,0.17615587022497417
老户,DEV-OOS,gcard_v5,中意愿,合计,376621,168090,0.4463107474091992
