final_flag,segment,mdl_month,score_version,score_label,n_samples,n_positive,bad_rate,auc,ks
DEV-OOS,老户次新,2025-10,model_score,本轮模型,198097,85425,0.4312281357112929,0.8176402158664718,0.4807720116027777
DEV-OOS,老户次新,2025-10,gcard_v2,G卡V2,197882,85313,0.4311306738359224,0.7926323414914203,0.4433059131268732
DEV-OOS,老户次新,2025-10,gcard_v4,G卡V4,198097,85425,0.4312281357112929,0.7976209794101314,0.45517639740386234
DEV-OOS,老户次新,2025-10,gcard_v5,G卡V5,198097,85425,0.4312281357112929,0.7840314022778334,0.42907816417270445
DEV-OOS,老户次新,2025-10,gcard_v6,G卡V6,198097,85425,0.4312281357112929,0.8129658216510545,0.4728141697912363
DEV-OOS,老户次新,2025-11,model_score,本轮模型,192170,81175,0.42241244731227556,0.8141578800477851,0.4742679083935907
DEV-OOS,老户次新,2025-11,gcard_v2,G卡V2,191963,81061,0.422274084068284,0.7877448263653588,0.4345555784821863
DEV-OOS,老户次新,2025-11,gcard_v4,G卡V4,192170,81175,0.42241244731227556,0.7951978120801159,0.448365504995529
DEV-OOS,老户次新,2025-11,gcard_v5,G卡V5,192170,81175,0.42241244731227556,0.7803670885659746,0.4222421719887304
DEV-OOS,老户次新,2025-11,gcard_v6,G卡V6,192170,81175,0.42241244731227556,0.8083994548679718,0.4652203610056155
DEV-OOS,老户,2025-06,model_score,本轮模型,213973,95421,0.4459487879311876,0.8272481529672193,0.4957500564132102
DEV-OOS,老户,2025-06,gcard_v2,G卡V2,213963,95415,0.4459415880315756,0.8027596637439094,0.4547849900316388
DEV-OOS,老户,2025-06,gcard_v4,G卡V4,213973,95421,0.4459487879311876,0.810730393348304,0.4701747386432971
DEV-OOS,老户,2025-06,gcard_v5,G卡V5,213973,95421,0.4459487879311876,0.7859182483232969,0.42884946009370395
DEV-OOS,老户,2025-06,gcard_v6,G卡V6,213973,95421,0.4459487879311876,0.8218054671975547,0.4855736110229214
DEV-OOS,老户,2025-07,model_score,本轮模型,200576,92131,0.45933212348436503,0.82950076065321,0.49934260881523806
DEV-OOS,老户,2025-07,gcard_v2,G卡V2,200570,92128,0.45933090691529144,0.8032281158904466,0.45609830588678413
DEV-OOS,老户,2025-07,gcard_v4,G卡V4,200576,92131,0.45933212348436503,0.8117912507755948,0.472628694503567
DEV-OOS,老户,2025-07,gcard_v5,G卡V5,200576,92131,0.45933212348436503,0.7907771672759798,0.43823087308722064
DEV-OOS,老户,2025-07,gcard_v6,G卡V6,200576,92131,0.45933212348436503,0.824384324511585,0.4900015627285938
DEV-OOS,老户,2025-08,model_score,本轮模型,195209,92893,0.4758643300257673,0.8303766914609575,0.5040520882070072
DEV-OOS,老户,2025-08,gcard_v2,G卡V2,195204,92891,0.4758662732321059,0.8039971469323426,0.458151914260952
DEV-OOS,老户,2025-08,gcard_v4,G卡V4,195209,92893,0.4758643300257673,0.8135386145901011,0.4768226949044166
DEV-OOS,老户,2025-08,gcard_v5,G卡V5,195209,92893,0.4758643300257673,0.7923385578256426,0.4409178950161647
DEV-OOS,老户,2025-08,gcard_v6,G卡V6,195209,92893,0.4758643300257673,0.825747212593222,0.4939565792551864
DEV-OOS,老户,2025-09,model_score,本轮模型,181308,84472,0.4659033247291901,0.825072561752612,0.4929564996484997
DEV-OOS,老户,2025-09,gcard_v2,G卡V2,181302,84472,0.4659187433122635,0.800914272352115,0.4548002523346461
DEV-OOS,老户,2025-09,gcard_v4,G卡V4,181308,84472,0.4659033247291901,0.8090131573331569,0.47086309017913974
DEV-OOS,老户,2025-09,gcard_v5,G卡V5,181308,84472,0.4659033247291901,0.7916112286860834,0.44139297655302157
DEV-OOS,老户,2025-09,gcard_v6,G卡V6,181308,84472,0.4659033247291901,0.8219589529984119,0.48670556885820576
DEV-OOS,老户,2025-10,model_score,本轮模型,171929,77832,0.45269849763565195,0.8183334769153636,0.47960800957158484
DEV-OOS,老户,2025-10,gcard_v2,G卡V2,171924,77829,0.4526942137223424,0.793093037626076,0.4405670688893742
DEV-OOS,老户,2025-10,gcard_v4,G卡V4,171929,77832,0.45269849763565195,0.8017112207703369,0.45656407286299816
DEV-OOS,老户,2025-10,gcard_v5,G卡V5,171929,77832,0.45269849763565195,0.7865272435697719,0.43052891021748085
DEV-OOS,老户,2025-10,gcard_v6,G卡V6,171929,77832,0.45269849763565195,0.8147718861235556,0.47347830719551065
DEV-OOS,老户,2025-11,model_score,本轮模型,166868,73436,0.44008437807128986,0.8176607114808201,0.47800819494419045
DEV-OOS,老户,2025-11,gcard_v2,G卡V2,166860,73430,0.44006951935754524,0.7907848461574936,0.43623630322336865
DEV-OOS,老户,2025-11,gcard_v4,G卡V4,166868,73436,0.44008437807128986,0.8004240048712177,0.4531630065805032
DEV-OOS,老户,2025-11,gcard_v5,G卡V5,166868,73436,0.44008437807128986,0.7844651129365343,0.42806193331530934
DEV-OOS,老户,2025-11,gcard_v6,G卡V6,166868,73436,0.44008437807128986,0.8131181459184846,0.47045365209254414
DEV-OOS,次新,2025-06,model_score,本轮模型,28426,7870,0.2768592133961866,0.789122038832527,0.4250307771771932
DEV-OOS,次新,2025-06,gcard_v2,G卡V2,28209,7749,0.27469956396894607,0.7528611865157893,0.37610475895290996
DEV-OOS,次新,2025-06,gcard_v4,G卡V4,28426,7870,0.2768592133961866,0.725097557903003,0.3462351952443791
DEV-OOS,次新,2025-06,gcard_v5,G卡V5,28426,7870,0.2768592133961866,0.7075672665836381,0.2989599304518626
DEV-OOS,次新,2025-06,gcard_v6,G卡V6,28426,7870,0.2768592133961866,0.7783424298776108,0.40847598143899466
DEV-OOS,次新,2025-07,model_score,本轮模型,26796,7961,0.2970965815793402,0.7733600859539339,0.41451496672772997
DEV-OOS,次新,2025-07,gcard_v2,G卡V2,26603,7862,0.29553057925797843,0.7358854186751775,0.34932206787673237
DEV-OOS,次新,2025-07,gcard_v4,G卡V4,26796,7961,0.2970965815793402,0.7220214506697054,0.34657774676501496
DEV-OOS,次新,2025-07,gcard_v5,G卡V5,26796,7961,0.2970965815793402,0.7050667264395212,0.2982320668848638
DEV-OOS,次新,2025-07,gcard_v6,G卡V6,26796,7961,0.2970965815793402,0.7581451512678595,0.38786342511861066
DEV-OOS,次新,2025-08,model_score,本轮模型,25882,7984,0.3084769337763697,0.7708603911644947,0.3944899940679213
DEV-OOS,次新,2025-08,gcard_v2,G卡V2,25691,7881,0.30676112257210697,0.7365574216299003,0.35274060863656836
DEV-OOS,次新,2025-08,gcard_v4,G卡V4,25882,7984,0.3084769337763697,0.7244638840481277,0.3448640352556717
DEV-OOS,次新,2025-08,gcard_v5,G卡V5,25882,7984,0.3084769337763697,0.7050399547558632,0.3041519540365791
DEV-OOS,次新,2025-08,gcard_v6,G卡V6,25882,7984,0.3084769337763697,0.76059003552977,0.3874040403972544
DEV-OOS,次新,2025-09,model_score,本轮模型,25183,7716,0.30639717269586625,0.7714925431628561,0.4027227838035572
DEV-OOS,次新,2025-09,gcard_v2,G卡V2,24974,7615,0.3049171137983503,0.7393632447714834,0.35416319924568485
DEV-OOS,次新,2025-09,gcard_v4,G卡V4,25183,7716,0.30639717269586625,0.7201131412940933,0.3391428813863708
DEV-OOS,次新,2025-09,gcard_v5,G卡V5,25183,7716,0.30639717269586625,0.7025247275889545,0.29823180899845714
DEV-OOS,次新,2025-09,gcard_v6,G卡V6,25183,7716,0.30639717269586625,0.760050456399408,0.3845491148041499
DEV-OOS,次新,2025-10,model_score,本轮模型,26168,7593,0.29016355854478754,0.7766150873183294,0.4178610851285247
DEV-OOS,次新,2025-10,gcard_v2,G卡V2,25958,7484,0.2883118884351645,0.736980402115976,0.3578399752534757
DEV-OOS,次新,2025-10,gcard_v4,G卡V4,26168,7593,0.29016355854478754,0.7248118662811732,0.3576067210732276
DEV-OOS,次新,2025-10,gcard_v5,G卡V5,26168,7593,0.29016355854478754,0.707052160212025,0.3094319110592582
DEV-OOS,次新,2025-10,gcard_v6,G卡V6,26168,7593,0.29016355854478754,0.7595877977147969,0.38824162440471216
DEV-OOS,次新,2025-11,model_score,本轮模型,25302,7739,0.30586514900007905,0.7599031833837445,0.39498820251377614
DEV-OOS,次新,2025-11,gcard_v2,G卡V2,25103,7631,0.30398757120662867,0.7228192323772851,0.33908602754428985
DEV-OOS,次新,2025-11,gcard_v4,G卡V4,25302,7739,0.30586514900007905,0.7218801637200608,0.33954431022641496
DEV-OOS,次新,2025-11,gcard_v5,G卡V5,25302,7739,0.30586514900007905,0.7046713127849851,0.29846672297967025
DEV-OOS,次新,2025-11,gcard_v6,G卡V6,25302,7739,0.30586514900007905,0.7438426802602062,0.3644242953782752
DEV-OOS,流失户,2025-06,model_score,本轮模型,357601,9399,0.026283483547305517,0.8840804543029221,0.6234192202873138
DEV-OOS,流失户,2025-06,gcard_v2,G卡V2,357583,9399,0.02628480660434081,0.8789856997708991,0.5913470153984398
DEV-OOS,流失户,2025-06,gcard_v4,G卡V4,357583,9399,0.02628480660434081,0.8126245833023455,0.5459476263187335
DEV-OOS,流失户,2025-06,gcard_v5,G卡V5,357601,9399,0.026283483547305517,0.8858378586109421,0.6121383744377824
DEV-OOS,流失户,2025-06,gcard_v6,G卡V6,357601,9399,0.026283483547305517,0.8972559897459073,0.6419171935325088
DEV-OOS,流失户,2025-07,model_score,本轮模型,372628,10527,0.028250695063172925,0.8895880266033196,0.6316142048108498
DEV-OOS,流失户,2025-07,gcard_v2,G卡V2,372608,10526,0.028249527653727242,0.8863115708016012,0.6067675536157016
DEV-OOS,流失户,2025-07,gcard_v4,G卡V4,372608,10526,0.028249527653727242,0.8152868542370033,0.5512415969029023
DEV-OOS,流失户,2025-07,gcard_v5,G卡V5,372628,10527,0.028250695063172925,0.8908908622713337,0.6252237493560739
DEV-OOS,流失户,2025-07,gcard_v6,G卡V6,372628,10527,0.028250695063172925,0.8993644550761927,0.645243164786375
DEV-OOS,流失户,2025-08,model_score,本轮模型,378909,10838,0.02860317384913,0.8849877765470734,0.6234157199633535
DEV-OOS,流失户,2025-08,gcard_v2,G卡V2,378899,10838,0.02860392875146147,0.8818115547571503,0.595994000988384
DEV-OOS,流失户,2025-08,gcard_v4,G卡V4,378899,10838,0.02860392875146147,0.8133202453289474,0.5484131292796273
