trial,name,best_iteration,objective,elapsed_seconds,learning_rate,num_leaves,max_depth,min_child_samples,colsample_bytree,subsample,bagging_freq,reg_alpha,reg_lambda,num_boost_round,early_stopping_rounds,DEV_auc,DEV_ks,DEV-OOS_auc,DEV-OOS_ks,OOT_auc,OOT_ks,OOT-OOS_auc,OOT-OOS_ks
4,stable_medium,466,0.8320743759933089,39.1,0.025,63,7,150,0.72,0.86,3,0.1,2.0,1000,80,0.9524125783371477,0.7634511729345543,0.9329632107043256,0.7191810974266648,0.93473244799269,0.7317643297796701,0.9302220813848991,0.720902529929157
8,random_04,322,0.8318917671785412,30.3,0.028473086341491215,63,7,75,0.7331205209651076,0.7020237451220523,2,1.1618308562813375e-05,0.010381409250773545,900,80,0.9515675822805573,0.7617247615380057,0.9327507586166679,0.718941494472951,0.9345379777053843,0.7338745725130609,0.9299381437004653,0.7187561274389183
11,random_07,807,0.8317346095992364,55.4,0.01528663738375778,47,7,100,0.8344991953626988,0.7072156951602393,5,0.17998686122839916,0.0014911365794022411,1100,80,0.952542713553258,0.7625165944508848,0.9328828627002175,0.7187018598202985,0.9346247428350358,0.7322204030189872,0.9301448085621624,0.7196165437547372
12,random_08,1100,0.8317345251048397,59.6,0.01668415990936164,63,6,200,0.7810912559811889,0.8346865666015519,1,0.0021124726606931103,1.2466753798293076e-05,1100,80,0.9518634755719205,0.7616421564995396,0.9329443699325672,0.7180986346125359,0.9347016013914945,0.7319700379770993,0.9302078255301592,0.7199242369083059
16,random_12,268,0.8314956131554395,31.6,0.03002638897058525,63,-1,100,0.7332207846103407,0.8939880872387707,3,0.00010567797929068442,0.0010789103496274264,1300,80,0.9538591091815843,0.7676599806454117,0.9328700972475847,0.7185607734384887,0.9344350451528862,0.7329954313033591,0.9299018993477556,0.720857768089229
6,random_02,834,0.8314640591930458,60.3,0.013362814726770254,63,7,75,0.679099487769342,0.7427072854940542,5,0.189891358928929,0.00019353477739362276,1100,80,0.9541805042597797,0.7666934641346383,0.933016374382387,0.7188667334585679,0.9347358809400598,0.7318650430410532,0.9302450948976954,0.7203390076567278
5,random_01,306,0.8311595851229368,40.2,0.037128585927290875,111,6,75,0.5428818852250186,0.7163926128093152,2,0.8642873831981,1.82730354264103e-05,1100,80,0.9493319690181441,0.7565053650081319,0.9326136510732012,0.7176017792333301,0.9343649871130151,0.7329580801703046,0.929886847927115,0.7182627629281507
3,deeper_regularized,576,0.8304147874767803,79.5,0.02,79,8,120,0.62,0.82,3,0.05,1.5,1200,80,0.9569059938847936,0.7738217251334736,0.9329963397208656,0.7191558545052207,0.934556818500334,0.7307606657740211,0.9302785129542939,0.7210592392565547
10,random_06,612,0.8303846993398932,51.0,0.01749404959252421,111,7,75,0.8175430101745955,0.8400868758412662,1,0.017675610032076003,0.1036175832085607,900,80,0.9562086289181854,0.7732004948293313,0.9329450674128078,0.7180554115558756,0.9346829270136607,0.7315512516813775,0.930206311596127,0.7205594823416085
1,current_fixed,346,0.830367290513286,21.0,0.05,31,5,100,0.7,0.7,1,0.1,1.0,1000,60,0.9467088379443812,0.7509839277874044,0.9325825047941936,0.7175517104490262,0.9343921321220672,0.7316877398679851,0.9298740416749327,0.718180849661723
13,random_09,543,0.8302111471173992,50.0,0.019083196534486105,79,8,75,0.7929790751902346,0.896660368957495,2,0.0003164123032322914,0.5816175762840933,900,80,0.9583585113825467,0.7776316170104184,0.9329971942455211,0.7194773712455821,0.9347797270954239,0.7331236675783868,0.9303331046435193,0.7198729089692182
15,random_11,207,0.8301209665478323,24.3,0.03833528527020716,79,8,50,0.8508803155254432,0.8116859619782121,5,0.7883161513477656,0.0006384029269227194,1300,80,0.9556596824466457,0.7705637709997328,0.9326226437305918,0.7186708570152451,0.9341363585239002,0.729673800342396,0.9295579489751824,0.7203581269709368
7,random_03,835,0.829181918528938,80.1,0.011496803487294373,95,8,50,0.7834504236751527,0.8133489211084581,1,8.471702042746246e-05,0.00046776686390379507,900,80,0.9610637264397062,0.7849073799771316,0.9329678843295355,0.7193047941436835,0.9346769716582854,0.7327148330262184,0.9302039634973093,0.7207650557126223
9,random_05,763,0.828527519464447,131.4,0.010000517789635403,111,-1,200,0.5885207479330291,0.7384157786699026,1,0.00040825571149566143,4.381557966657133,1300,80,0.9603549618522065,0.7906530930454102,0.9330882036593142,0.719147159672825,0.9345270036852595,0.7318578609537921,0.9303721088164831,0.719639707374307
14,random_10,427,0.8280710415470252,63.7,0.016418923671370354,111,-1,200,0.6880443835393759,0.7939166765081221,1,6.860107243567164e-05,0.00014708948221400979,900,80,0.9614002721872951,0.7883794772411489,0.9329947462794485,0.7189582625899263,0.9345847432924452,0.7310752131428822,0.9302261364121726,0.7183706811209368
2,prev_optuna_like,704,0.8271643710409936,141.0,0.011414424744267267,105,-1,75,0.57213311764246,0.8198450774446986,3,6.193645809865819e-06,1.4053047392238685e-07,1200,80,0.9644261934430947,0.7946084921763472,0.9329318540313825,0.7182029980847433,0.9347000275610519,0.7317155790741507,0.9302007490679687,0.7192017151079881
