feature,gain,split
rsk_avl_lmt_ch_les_500_cnt_12m,964.319100856781,32
d720_due_repay_amt_sum_divide_d720_faqi_trade_amt_sum,955.4910885095596,73
d360_apl_ord_prc_amt_min,953.0485112667084,64
percent_true_followup_code_other_call_mode_manual_30d,948.2364797592163,48
fst_fal_ord_prc_amt,948.1055541038513,89
stg_pln_sum_rep_prc_his_d0_mrn_pk_rto_v2,940.8776749968529,108
d30_apl_ord_ddf_mdl_ord_crt_dte_max,923.791748046875,71
credit_unique_fund_cnt_1m,921.968906879425,40
max_ddf_lag_crt_dte,921.7336579710245,101
his_max_faqi_prc_amt_divide_max_due_pay_amt_sum_mon,918.5953471660614,83
18m_used_lmt_first_der_sum,918.0463781356812,85
stg_pln_sum_rep_prc_his_fst_ord,911.5797826051712,95
6m_repay_amt_second_der_mean_diff,901.5559115111828,79
18stg_pln_repay_amt_second_der_mean_rto,891.5250177383423,87
d720_max_faqi_prc_amt_divide_rsk_adt_lmt_cash,888.7681541442871,75
18m_repay_amt_second_der_mean_diff,885.6918477118015,88
6m_used_lmt_first_der_max,884.005838394165,68
3m_repay_ftr_amt_second_der_mean_rto,872.8896117210388,89
d90_aplord_suc_month_cnt,867.4317798614502,16
max_ddf_rep_tim_dte_adv,865.468656539917,69
d1095_aplord_fal_month_cnt,864.1365342140198,63
succloan_stage_num_mean_all,847.3629696369171,79
m1_manual_rep_apl_suc_amt_sum,844.6190190315247,54
m3_manual_rep_apl_suc_stg_pln_cnt_avg,837.1176201701164,69
6m_used_lmt_first_der_small_0_sum,836.4653611183167,76
last_day_diff_event_result_0_event_type_loan_all,833.2522202432156,92
3m_used_lmt_first_der_small_0_sum,829.3272783756256,64
n_unique_other_info_event_type_credit,829.2679162025452,38
min_amt_channel_hb,826.9048230648041,98
d1080_sum_repaid_interest_fee_sum_divide_d1080_principal_sum,825.0094177722931,83
3stg_pln_repay_amt_second_der_mean_rto,812.7603392601013,88
min_ddf_rep_tim_dte_adv,806.9460620880127,57
rsk_avl_lmt_ch_1m_les_10000_rate_bjq_12m,806.8117812871933,69
d180_max_due_prc_amt_divide_d180_max_faqi_prc_amt,801.310384273529,41
credit_reject_cnt_12m,800.314040184021,77
sum_day_diff_shift1_event_type_loan_all,797.4467651471496,88
rsk_lmt_rate_ch_1m_grt_0p5_cnt_3m,794.4190053939819,32
d180_apl_ord_prc_amt_avg,790.1032919883728,49
6ord_apply_amt_second_der_mean_rto,789.5858669281006,74
stg_pln_sum_rep_prc_12m_his_d0_mrn_pk_rto,783.3897264003754,87
d180_apl_ord_prc_amt_sum_all,778.5215201377869,37
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_sum,778.2930455207825,53
d1080_due_repay_amt_avg_divide_d1080_faqi_trade_amt_avg,774.9915631115437,76
rsk_avl_lmt_ch_1m_les_500_rate_bjq_12m,770.4644231796265,51
6m_used_lmt_second_der_sum,762.5080423355103,76
m6_stg_pln_manual_deduct_rep_apl_cnt_sum,750.5645709037781,36
6stg_pln_repay_amt_first_der_mean_diff,750.0319501757622,81
18m_repay_amt_first_der_mean_diff,743.2895361110568,76
3m_repay_amt_first_der_max,735.8577915430069,48
stg_pln_max_prc_amt_12m_ftr_his_rep_rto_cash,735.4381170272827,59
ord_apl_sum_prc_amt_13_18,733.3792173862457,77
rsk_lmt_rate_ch_1m_grt_0p5_rate_6m,732.529007434845,41
12m_used_lmt_second_der_mean_diff,724.5378792285919,70
6m_repay_amt_first_der_max,724.0294804573059,34
ddf_36m_rep_dte_5_crt_dt_rep_prc_amt_rto,719.2245624065399,67
18m_used_lmt_second_der_min,718.8588274717331,62
18ord_apply_amt_first_der_min,717.3775753974915,56
stg_pln_sum_prc_amt_2m_ftr_his_rep_rto_all,713.8436708450317,59
stg_pln_sum_rep_prc_his_d0_mrn_zd_v2,712.7675651311874,77
d360_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,709.7175283432007,42
std_amt_channel_hb,706.277649641037,81
stg_pln_sum_prc_amt_3m_6m_rto_ftr,698.0014717578888,51
avg_avl_lmt_lft_rep_prc_all_cash_24m,686.720721423626,60
d90_faqiamt_thismon_sum_larger_than_rsk_avl_lmt_cash_count_sum,686.307544708252,34
af_1m_trend,685.7972009181976,64
rsk_avl_lmt_ch_1m_les_500_rate_3m,684.6733121871948,45
stg_pln_min_rep_prc_his,676.5082247853279,71
succloan_day_diff_reud_stage_num_sum_all,674.7781291007996,75
stg_pln_pay_off_max_prc_amt_pday_12m,672.1169953346252,61
18m_used_lmt_second_der_mean_rto,671.3803987503052,70
ddf_fst_lst_ord_crt_dte,671.3272829055786,70
stg_pln_avg_prc_amt_3m_6m_ftr_rto_all,671.250864982605,57
12m_repay_amt_first_der_sum,670.4438067376614,66
3m_repay_ftr_amt_first_der_mean_diff,669.44171667099,60
credit_unique_fund_cnt_3m,669.2985711097717,30
m3_manual_rep_apl_suc_amt_avg,667.625146150589,61
ddf_24m_rep_dte_neg_7_crt_dt_ord_cnt,666.8955826759338,28
stg_pln_min_prc_amt_1m_3m_ftr_rto_cash,665.460772395134,72
stg_pln_sum_rep_prc_his_d0_mrn_pk,664.7762794494629,73
max_rsk_lmt_rate_bt_ch_3m,663.7313351631165,59
3stg_pln_repay_amt_first_der_mean_rto,658.4065282344818,71
sum_talk_duration_180d,654.7161617279053,53
12stg_pln_repay_amt_first_der_mean_rto,654.1832909584045,67
12stg_pln_repay_amt_first_der_median,652.8036828041077,73
18m_repay_amt_second_der_median,651.0041689872742,67
stddev_amt_event_type_repay_all,649.5785907506943,70
stg_pln_avg_prc_amt_adv_3d,647.6666802167892,77
d1080_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,647.0741496086121,65
d90_apl_ord_prc_amt_avg,646.3933823108673,43
d60_apl_ord_prc_amt_max,645.4581336975098,42
max_ddf_suc_lag_crt_dte,643.7416777610779,72
stg_pln_avg_prc_amt_his_ftr_light,640.9860801696777,49
last_amt_channel_hb_microcredit_lv1_all,640.7184001207352,75
ord_apl_sum_prc_amt_360_day_19_23,638.562262058258,59
6stg_pln_repay_amt_first_der_mean_rto,636.8785526752472,70
3m_used_lmt_first_der_mean_diff,634.9726133346558,57
d720_max_ovd_repay_amt_divide_d720_max_fail_prc_amt,633.6171207427979,59
12m_used_lmt_first_der_min,631.8741992712021,54
3m_repay_amt_first_der_min,630.7569507360458,59
12m_used_lmt_second_der_small_0_sum,629.7655952572823,59
rsi_af_6m_inter_1m,627.3891940116882,60
m6_stg_pln_d0_normal_batch_rep_apl_suc_cnt_rat,624.3688805103302,57
stg_pln_avg_prc_amt_2m_ftr_his_rep_rto_all,623.161678314209,63
12m_used_lmt_first_der_sum,620.6925420761108,55
18m_repay_amt_first_der_median,620.5750604867935,59
d365_aplord_suc_month_cnt,620.5355186462402,16
6m_repay_ftr_amt_second_der_mean_rto,617.1401913762093,53
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_rto_v2,615.6255787611008,64
6m_used_lmt_second_der_median,612.6505379676819,59
stg_pln_sum_rep_prc_his_ovd_0d_pls_3d_zd_v2,612.5469379425049,59
m3_rep_apl_stg_pln_cnt_max,611.0280160903931,34
3m_used_lmt_second_der_sum,609.9961996078491,54
9m_ftr_con_dsc_repay_amt_max,609.3866451978683,20
3ord_apply_amt_second_der_mean_diff,608.1526477336884,61
min_rsk_lmt_rate_bt_ch_3m,606.9318597316742,53
avg_ddf_rep_dte_ord_crt_tim_7,605.3909871578217,65
d360_apl_ord_stg_num_sum_all,602.8902831077576,47
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt,601.8316049575806,56
pst_ord_apl_suc_sum_stg_num_360_day_bjq_12m,598.9621522426605,23
tot_pending_repay_tot_fee_stddev,597.0854105949402,54
6stg_pln_repay_amt_first_der_median,597.0613017082214,66
24stg_pln_repay_amt_second_der_avg,596.1862799525261,66
d60_d360_apl_ord_prc_amt_avg_rat,593.8974738121033,39
his_trade_fail_amt_sum_mon_divide_his_trade_success_amt_sum_mon,587.8963623046875,66
3ord_apply_amt_first_der_mean_diff,586.9375638961792,58
ddf_24m_rep_dte_neg_7_crt_dt_rep_prc_amt_rto,585.36274766922,53
12m_repay_amt_second_der_mean_diff,585.1540371179581,61
his_7d_app_str_ctn_v2,581.5874202251434,46
d90_max_due_prc_amt_divide_rsk_adt_lmt_cash,581.4361715316772,52
lst_app_str_hr,578.197726726532,58
m6_payment_not_eng_mdl_crt_ddf_avg,576.1692490577698,63
6m_used_lmt_second_der_mean_diff,571.3639204502106,59
rsk_lmt_rate_ch_1m_grt_0p5_rate_bjq_12m,568.8011540174484,47
m6_payment_not_eng_inteday_avg,568.0507326126099,48
min_rsk_avl_lmt_36m_bt_ch,567.132562816143,64
6stg_pln_repay_amt_second_der_median,565.9215507507324,65
d30_d180_his_rep_amt_sum_rat_all,565.7616684436798,48
stg_pln_sum_rep_prc_his_d0_afn_zd_v2,564.7157718241215,63
18m_used_lmt_first_der_mean_rto,564.0243017673492,57
min_avl_lmt_lft_rep_prc_2m_cash_3m,562.1212885379791,39
d720_repaid_interest_fee_sum,559.3111801147461,57
stg_pln_min_prc_amt_ftr,551.7257002592087,51
avg_ddf_rep_dte_ord_crt_tim_neg_7,548.6087293624878,55
3m_used_lmt_first_der_sum,543.3675694465637,42
36stg_pln_repay_amt_second_der_mean_diff,542.7433798313141,57
3m_repay_amt_first_der_mean_rto,541.939599275589,57
median_amt_event_result_1_all,541.5464121103287,59
ord_apl_cnt_13_18,541.0447478890419,48
d90_d360_apl_ord_prc_amt_avg_rat,537.791476726532,48
m6_stg_pln_rep_apl_cnt_equal_1_manual_rep_apl_amt_min,537.583271920681,44
credit_fund_level2_reject_cnt_36m,535.8080384731293,52
36stg_pln_repay_amt_first_der_sum,535.7670578956604,63
cnt_other_info_auto_deduct_uid_recent_days_540,533.0375587940216,51
d360_light_limit_divide_btch_adt_limit,530.89080119133,48
stg_pln_max_prc_amt_6m_12m_ftr_cash,530.213988006115,46
6stg_pln_repay_amt_second_der_sum,528.1904873847961,56
max_avl_lmt_lft_rep_prc_all_cash_24m,526.3082593679428,55
d180_repaid_gurantee_fee_sum_divide_d180_principal_sum,522.2759993076324,51
d90_d180_suc_ord_prc_amt_avg_rat,520.8944940567017,48
rsi_af_1y_inter_1m,519.3266363143921,54
cnt_event_type_loan_type_heavy_all,517.9528541266918,46
stg_pln_avg_prc_amt_12m_ftr_his_rep_rto_cash,517.6933410167694,52
m6_manual_tim_6_12_rep_apl_cnt_rat,517.6348943710327,55
credit_unique_scene_cnt_12m,517.4690656661987,39
d90_avg_due_pay_amt_sum_by_mon_divide_rsk_adt_lmt_cash,516.7137520313263,47
18m_repay_ftr_amt_first_der_mean_diff,516.0213778018951,42
12stg_pln_repay_amt_second_der_median,514.8660113811493,54
median_amt_other_info_auto_deduct_all,512.8822327852249,57
avg_avl_lmt_lft_rep_prc_all_cash_36m,512.6759603023529,44
3ord_apply_amt_first_der_mean_rto,512.0575499534607,47
m1_rep_apl_suc_amt_sum,511.8151183128357,39
rsk_lmt_rate_ch_1m_grt_0p95_rate_3m,511.39893913269043,35
3stg_pln_repay_amt_first_der_stddev,509.7585699558258,51
d1080_max_due_prc_amt_divide_d1080_max_faqi_prc_amt,508.3607759475708,56
d720_faqi_trade_amt_larger_than_unpaid_principal_tot_amt_t_day_count_sum,506.64351511001587,35
d180_max_adv_repay_amt_divide_d180_max_faqi_prc_amt,506.3550181090832,53
18ord_apply_amt_first_der_median,506.12112283706665,48
avg_avl_lmt_lft_rep_prc_all_cash_12m,504.1722650527954,46
abf_1y_inter_1m_count_up,502.5379590988159,27
stg_pln_cnt_adv_rct,501.09083116054535,58
18m_repay_ftr_amt_second_der_mean_diff,498.56256914138794,50
6m_used_lmt_second_der_min,497.22426176071167,43
3m_used_lmt_second_der_mean_diff,496.8473219871521,46
cnt_event_type_repay_event_result_1_all,495.82381772994995,56
12ord_apply_amt_second_der_stddev,495.6447024345398,45
d90_due_repay_amt_avg_divide_d90_faqi_trade_amt_avg,495.21070098876953,45
d90_apl_ord_prc_amt_per_stg_max,494.1921479701996,36
3m_used_lmt_first_der_max,491.5016357600689,38
min_amt_event_type_repay_recent_180,490.5559844970703,45
d360_repaid_exclude_principal_fee_max,489.55479192733765,41
d30_apl_ord_prc_amt_avg_all,487.1105399131775,38
ord_apl_max_prc_amt_360_day_bjq_12m,485.71063125133514,31
ord_apl_sum_prc_amt_360_day_bjq_12m,485.53655183315277,46
3m_repay_amt_first_der_sum,485.11518955230713,44
ai_call_cnt_21d,484.2382016181946,40
12ord_apply_amt_second_der_sum,483.5587422847748,45
d720_max_ovd_repay_amt_divide_d720_max_suc_prc_amt,482.0057997703552,46
percent_true_followup_code_wfjt_called_phone_social_relations_family_180d,481.0507206916809,28
6m_used_lmt_first_der_mean_rto,481.0174219608307,53
stg_pln_sum_rep_prc_his_d0_non_zd_v2,480.3022289276123,49
fst_ord_prc_fst_adt_lmt_rto,479.7667193412781,55
12m_used_lmt_first_der_mean_rto,479.32370829582214,49
stg_pln_max_prc_amt_d0_rep_his_fst_ord,477.1265573501587,51
d90_suc_ord_prc_amt_sum_all,476.74146127700806,33
m3_manual_rep_apl_suc_amt_sum,476.737715780735,37
m3_rep_apl_suc_amt_avg,476.3981614112854,51
12m_used_lmt_first_der_avg,474.55614948272705,49
3m_used_lmt_second_der_median,474.5346086025238,51
d30_d360_apl_ord_prc_amt_avg_rat_all,473.29946208000183,32
credit_ratio_12m,468.1439712047577,46
stg_pln_sum_prc_amt_7d_ftr_cash,464.74844551086426,38
credit_avg_limit_cnt_36m,463.7209177017212,44
12m_repay_amt_first_der_median,461.8463807106018,47
min_ddf_mdl_rep_tim_adv_bjq_12m,459.49537897109985,50
3m_used_lmt_second_der_stddev,454.72598099708557,41
6m_used_lmt_first_der_mean_diff,454.13884472846985,47
15d_range_sum_prc_amt_1m,453.25828742980957,31
d90_apl_ord_ddf_mdl_ord_crt_dte_max,452.2987266853452,41
credit_loan_avg_days_36m,448.5894818305969,42
rsk_avl_lmt_ch_les_1000_rate_12m,448.32715368270874,38
stg_pln_sum_prc_amt_6m_12m_ftr_cash,445.70868611335754,34
24stg_pln_repay_amt_second_der_mean_rto,442.7132525444031,42
his_advrepay_suc_trade_in_same_month_count_sum,441.98660135269165,51
12m_repay_amt_first_der_mean_diff,441.3304480910301,46
d1095_aplord_stg_grt_fst_month_cnt,439.303017616272,40
6m_repay_amt_second_der_median,439.26978981494904,46
ord_apl_suc_sum_prc_amt_360_day_bjq_12m,437.24415922164917,28
rsk_avl_lmt_ch_1m_les_10000_rate_6m,435.44559025764465,38
credit_unique_scene_cnt_36m,434.0299987792969,36
6stg_pln_repay_amt_first_der_max,428.33062493801117,42
f54__percent_true_call_mode_is_ai_called_phone_social_relations_is_self_180d,426.2245979309082,31
d1080_max_adv_repay_amt_divide_d1080_max_faqi_prc_amt,425.21722197532654,48
3m_repay_ftr_amt_first_der_mean_rto,424.76169323921204,44
his_360_day_prc_amt_3_000_flg_suc_ord_cnt_bjq_12m,422.01552724838257,11
recent_1m_repay_progress_max,421.1180520057678,29
d720_repaid_tot_fee_stddev,416.799329996109,44
his_max_ovd_repay_amt_divide_his_max_suc_prc_amt,415.6388401389122,43
m1_stg_pln_d0_rep_apl_suc_cnt_rat,414.39455103874207,38
ddf_3m_rep_dte_7_crt_dt_rep_prc_amt_rto,410.2460687160492,32
rsk_avl_lmt_ch_1m_les_500_cnt_12m,406.6265606880188,30
stg_pln_cnt_3m_ftr_his_rep_rto_cash,406.4679117202759,38
d360_repaid_interest_fee_max,405.0851504802704,39
rsk_lmt_rate_ch_1m_grt_0p2_rate_bjq_12m,403.4968304038048,40
d360_max_due_prc_amt_divide_d360_max_faqi_prc_amt,399.9826798439026,40
credit_unique_fund_cnt_36m,399.13740825653076,41
ddf_24m_rep_dte_1_crt_dt_rep_prc_amt_rto,398.2664918899536,38
stg_pln_pay_off_cnt_bjq_12m,394.92892813682556,32
d30_apl_ord_prc_amt_max_all,394.64693117141724,33
d1095_avl_lmt_eql_0_month_cnt,393.84020042419434,40
m3_stg_pln_normal_batch_rep_apl_suc_cnt_avg,392.4158992767334,35
rsk_avl_lmt_ch_les_5000_rate_12m,390.3434405326843,33
18stg_pln_repay_amt_second_der_mean_diff,390.2824091911316,47
d15_d360_suc_ord_cnt_rat,389.92319989204407,28
af_1y_inter_3m_sum_up,389.3735122680664,27
max_ddf_mdl_rep_dte_his_bjq,381.128418803215,49
d360_due_repay_amt_sum_divide_d360_faqi_trade_amt_sum,380.23051929473877,37
stg_pln_max_prc_amt_adv_rct_36m,379.3682897090912,40
stg_pln_pay_off_sum_prc_amt_14d,379.13172006607056,40
rsk_avl_lmt_ch_1m_les_10000_cnt_bjq_12m,376.8268096446991,37
his_max_faqi_prc_amt_divide_max_ovd_amt_sum_mon,376.4389600753784,42
stg_pln_cnt_3m_6m_ftr_rto_all,374.46829199790955,31
stg_pln_cnt_his_ftr_light,370.6579313278198,27
avg_ddf_rep_dte_ord_crt_tim_neg_1,368.55920815467834,39
ddf_6m_rep_dte_neg_3_crt_dt_rep_prc_amt_rto,367.6170597076416,33
payment_balancenotenough_day_rate_3m,363.1975665092468,33
d180_avl_lmt_shift1_rise_month_cnt,363.1223073005676,26
rsi_bf_3m_inter_1m,363.09566855430603,33
m1_rep_apl_suc_amt_max,362.4816999435425,32
d30_d90_suc_ord_cnt_rat,361.7446708679199,26
d180_due_repay_amt_avg_divide_d180_faqi_trade_amt_avg,361.08004236221313,31
36stg_pln_repay_amt_second_der_mean_rto,361.058780670166,35
d720_max_due_prc_amt_divide_d720_max_faqi_prc_amt,354.4982633590698,38
ddf_24m_rep_dte_neg_7_crt_dt_avg_prc_amt,352.8298478126526,34
pst_ord_apl_suc_max_prc_amt_his,350.47053956985474,37
d720_unpaid_principal_tot_amt_t_day_divide_rsk_adt_lmt_cash_his_t_day_max,346.5551711320877,32
ord_apl_suc_sum_prc_amt_180_day_07_12,345.77621948719025,37
stg_pln_pay_off_max_prc_amt_pday_bjq_12m,341.5805811882019,30
m6_rep_apl_suc_amt_min,336.919890165329,32
12m_repay_ftr_amt_second_der_mean_rto,336.81678107380867,33
18stg_pln_repay_amt_first_der_stddev,336.2956817150116,35
m1_stg_pln_manual_deduct_rep_apl_cnt_equal_1_cnt_rat,334.7086114883423,22
d90_apl_ord_dis_bsy_typ_cnt_all,334.4963274002075,7
m1_normal_batch_rep_apl_suc_amt_avg,331.3567395210266,35
stddev_amt_event_type_repay_event_result_1_recent_180,329.4976010322571,33
avg_ddf_rep_dte_ord_crt_tim_3,329.32554787397385,37
rsk_avl_lmt_ch_1m_les_500_cnt_bjq_12m,328.91460061073303,36
n_unique_event_type_day_diff_shift1_event_type_loan,325.82130241394043,30
m6_pmt_not_eng_amt_pday_min,323.38360834121704,32
d1080_repaid_interest_fee_stddev,322.5927212238312,34
d60_apl_ord_stg_num_sum_all,322.3484311103821,16
30stg_pln_repay_amt_second_der_mean_rto,322.16977339982986,34
m1_manual_deduct_rep_apl_stg_pln_cnt_sum,321.61412143707275,14
d180_apl_ord_stg_num_avg,318.3856496810913,22
stg_pln_avg_prc_amt_his_light,317.0376398563385,36
m3_stg_pln_bnk_cnt_avg,315.7391519546509,30
used_rate_ch_grt_0p5_rate_3m,312.1731414794922,23
stg_pln_pay_off_max_prc_amt_14d,310.83717036247253,33
d7_d15_apl_ord_prc_amt_avg_rat,310.7725615501404,25
d360_apl_ord_prc_amt_per_stg_avg,301.537739276886,30
stg_pln_pay_off_cnt_d0_rep_bjq_12m_rto,299.9905186891556,33
12m_used_lmt_first_der_great_0_sum,298.8547673225403,27
m1_rep_apl_stg_pln_cnt_mor_1_cnt,296.06706285476685,26
his_30_day_csh_apl_ord_cnt_his_rto,295.1317307949066,30
ddf_12m_rep_dte_neg_1_crt_dt_rep_prc_amt_rto,294.7172603607178,29
m6_stg_pln_d0_normal_batch_rep_apl_fal_cnt_equal_2_cnt_rat,294.5856513977051,30
stg_pln_sum_rep_prc_3m_his_d0_evn_zd_rto_v2,294.4116005897522,27
af_3m_inter_1m_sum_up,285.5550022125244,22
m6_stg_pln_d0_normal_batch_rep_apl_cnt_equal_2_cnt_rat,285.25084018707275,31
ai_call_cnt_60d,284.7609305381775,23
d730_avl_lmt_con_drp_month_max,283.6364498138428,23
m1_stg_pln_manual_rep_apl_suc_cnt_avg,282.7497477531433,17
