intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,163248,542346.9400000001,6421.030000000001,0.011839340330748432,3,1.8e-05
中意愿,163247,8671543.21,258764.12999999998,0.02984060895892139,62,0.00038
高意愿,163248,174520826.75000003,5941007.199999999,0.0340418236071644,2087,0.012784
