intent_level,n_samples,total_principal,total_overdue,amount_overdue_rate,head_risk_count,head_risk_rate
低意愿,54179,14392608.36,249873.25,0.01736122068703327,126,0.002326
中意愿,54179,38125074.089999996,1080674.6700000002,0.028345510029669826,438,0.008084
高意愿,54180,119975871.8,4493980.91,0.037457372408107814,1515,0.027962
