intent_level,1,2,3,4,5,6,7
中意愿,0.035101,0.033759,0.032825,0.030689,0.020058,0.020633,0.027376
低意愿,0.0,0.004684,0.002018,0.000535,0.002154,0.002521,0.002672
高意愿,0.408667,0.436062,0.423159,0.455074,0.406897,0.451944,0.502495
